		Earners	Median age of earners	Sum	Median	Mean	P80/P20	P80/P50	P20/P50	P10/P50	Gini coefficient	Top 1%	Top 5%	Top 10%	Lowest Quartile	Second Quartile	Third Quartile	Highest Quartile
37400	Winton	  815 	  44 	 49,830,729	 52,604	 61,142	5.75 	1.79 	0.31 	0.09 	0.501 	5.9 	19.1 	31.0 	25.4 	26.7 	27.0 	21.0 
37550	Woorabinda	  327 	  36 	 13,182,859	 31,487	 40,315	10.46 	2.04 	0.19 	0.05 	0.500 	np	19.1 	31.8 	39.6 	35.3 	16.0 	9.2 
37570	Wujal Wujal	  127 	  40 	 5,080,912	 27,369	 40,007	np	np	np	np	0.559 	np	19.7 	33.8 	45.2 	27.8 	16.7 	10.3 
37600	Yarrabah	  776 	  36 	 28,073,765	 28,075	 36,178	12.91 	2.09 	0.16 	0.07 	0.512 	5.3 	19.1 	31.2 	44.3 	32.6 	17.4 	5.7 
South Australia		 1,123,049	  42 	 72,948,967,221	 53,353	 64,956	5.44 	1.81 	0.33 	0.11 	0.471 	8.3 	20.7 	31.6 	24.5 	27.1 	27.5 	20.9 
40070	Adelaide	 18,966	  35 	 1,444,377,196	 47,127	 76,156	9.72 	2.22 	0.23 	0.07 	0.594 	15.8 	31.9 	43.8 	31.5 	24.0 	20.9 	23.7 
40120	Adelaide Hills	 27,994	  48 	 2,200,103,051	 58,787	 78,592	6.30 	1.96 	0.31 	0.10 	0.514 	10.1 	24.3 	35.7 	23.9 	23.5 	23.9 	28.7 
40150	Adelaide Plains	 6,450	  43 	 399,043,011	 54,360	 61,867	4.15 	1.70 	0.41 	0.16 	0.432 	6.4 	17.6 	28.2 	20.9 	29.9 	30.3 	18.9 
40220	Alexandrina	 16,889	  50 	 909,768,768	 43,005	 53,868	7.60 	1.95 	0.26 	0.07 	0.505 	7.1 	20.7 	32.6 	31.5 	29.3 	23.4 	15.9 
40250	Anangu Pitjantjatjara	  384 	  34 	 17,837,696	 26,970	 46,452	22.35 	3.41 	0.15 	0.05 	0.556 	np	18.1 	31.2 	46.3 	19.1 	15.2 	19.4 
40310	Barossa	 16,339	  46 	 1,002,542,203	 52,678	 61,359	5.78 	1.78 	0.31 	0.09 	0.459 	6.7 	18.5 	29.5 	25.4 	26.6 	28.4 	19.6 
40430	Barunga West	 1,400	  53 	 86,393,987	 46,202	 61,710	9.82 	2.15 	0.22 	0.04 	0.540 	8.2 	22.3 	34.8 	31.0 	25.2 	22.1 	21.8 
40520	Berri and Barmera	 6,569	  44 	 339,372,023	 47,051	 51,663	5.39 	1.68 	0.31 	0.10 	0.447 	5.3 	16.9 	27.8 	27.8 	31.3 	28.0 	13.0 
40700	Burnside	 32,884	  48 	 3,225,752,446	 62,083	 98,095	7.90 	2.21 	0.28 	0.09 	0.571 	12.4 	29.6 	41.6 	24.7 	21.1 	20.3 	33.9 
40910	Campbelltown	 35,931	  42 	 2,278,566,420	 54,090	 63,415	5.51 	1.82 	0.33 	0.12 	0.450 	6.0 	17.9 	28.9 	24.5 	26.4 	27.4 	21.7 
41010	Ceduna	 2,364	  44 	 139,712,095	 49,276	 59,100	6.52 	1.89 	0.29 	0.10 	0.485 	7.6 	19.5 	30.5 	28.3 	26.5 	25.7 	19.6 
41060	Charles Sturt	 79,677	  41 	 5,448,788,424	 57,225	 68,386	4.94 	1.78 	0.36 	0.13 	0.452 	7.8 	19.7 	30.4 	22.2 	25.8 	28.6 	23.3 
41140	Clare and Gilbert Valleys	 5,937	  49 	 362,426,096	 49,133	 61,045	6.10 	1.88 	0.31 	0.10 	0.491 	7.3 	20.9 	32.7 	27.5 	28.0 	25.5 	19.0 
41190	Cleve	 1,106	  46 	 62,199,971	 47,127	 56,239	6.70 	1.90 	0.28 	0.06 	0.530 	7.1 	20.6 	32.5 	28.3 	28.1 	26.0 	17.6 
41330	Coober Pedy	  878 	  43 	 46,013,648	 42,546	 52,407	8.02 	1.90 	0.24 	0.05 	0.486 	6.8 	18.7 	30.3 	31.9 	28.4 	25.1 	14.7 
41560	Copper Coast	 8,125	  49 	 438,027,972	 43,953	 53,911	7.06 	1.92 	0.27 	0.09 	0.489 	6.2 	19.5 	31.6 	30.8 	30.0 	23.5 	15.7 
41750	Elliston	  643 	  50 	 35,101,550	 44,012	 54,590	10.57 	2.01 	0.19 	0.05 	0.566 	5.4 	20.9 	34.1 	31.7 	26.9 	23.3 	18.0 
41830	Flinders Ranges	 1,003	  50 	 57,774,014	 47,793	 57,601	8.63 	1.92 	0.22 	0.06 	0.485 	6.9 	18.5 	29.8 	30.0 	25.3 	25.2 	19.4 
41960	Franklin Harbour	  767 	  51 	 41,107,363	 45,649	 53,595	8.73 	1.98 	0.23 	0.05 	0.521 	5.4 	18.4 	30.7 	28.1 	29.9 	24.5 	17.4 
42030	Gawler	 15,276	  42 	 914,040,005	 54,106	 59,835	4.77 	1.68 	0.35 	0.12 	0.419 	5.1 	16.2 	26.7 	23.3 	27.6 	30.9 	18.2 
42110	Goyder	 2,389	  49 	 128,322,699	 41,863	 53,714	8.13 	1.95 	0.24 	0.05 	0.530 	12.5 	24.6 	35.7 	33.6 	28.2 	24.3 	13.9 
42250	Grant	 5,046	  46 	 324,493,744	 53,268	 64,307	4.82 	1.79 	0.37 	0.13 	0.472 	8.3 	20.6 	31.4 	22.8 	28.8 	27.8 	20.6 
42600	Holdfast Bay	 26,084	  48 	 2,096,409,487	 58,848	 80,371	6.47 	1.97 	0.30 	0.10 	0.516 	11.0 	24.7 	36.1 	23.9 	23.3 	23.7 	29.1 
42750	Kangaroo Island	 3,304	  49 	 163,614,437	 41,540	 49,520	7.05 	1.87 	0.27 	0.08 	0.509 	6.4 	20.1 	32.1 	31.4 	32.5 	23.5 	12.6 
43080	Karoonda East Murray	  577 	  51 	 22,083,005	 33,522	 38,272	13.39 	2.12 	0.16 	0.02 	0.696 	6.9 	22.4 	36.7 	39.1 	31.0 	19.8 	10.1 
43220	Kimba	  668 	  47 	 34,305,869	 41,124	 51,356	16.51 	2.07 	0.13 	0.01 	0.626 	7.4 	23.7 	36.6 	35.5 	24.0 	24.4 	16.2 
43360	Kingston	 1,525	  50 	 97,321,805	 49,097	 63,818	6.26 	1.87 	0.30 	0.09 	0.568 	10.5 	27.3 	38.8 	28.3 	27.1 	26.1 	18.5 
43650	Light	 10,166	  45 	 640,277,403	 55,259	 62,982	4.88 	1.75 	0.36 	0.12 	0.440 	5.6 	17.4 	28.1 	22.7 	27.1 	29.2 	20.9 
43710	Lower Eyre Peninsula	 3,685	  46 	 232,515,843	 52,130	 63,098	5.82 	1.90 	0.33 	0.10 	0.527 	7.1 	20.9 	32.8 	24.7 	27.4 	25.8 	22.0 
43790	Loxton Waikerie	 7,184	  46 	 367,267,561	 44,792	 51,123	6.08 	1.76 	0.29 	0.09 	0.472 	5.9 	18.4 	29.7 	28.8 	31.3 	27.1 	12.7 
44000	Maralinga Tjarutja	  22 	  36 	 1,071,604	 28,000	 48,709	np	np	np	np	np	np	np	np	np	np	np	np
44060	Marion	 61,681	  41 	 3,931,398,817	 56,619	 63,738	4.88 	1.73 	0.36 	0.12 	0.425 	5.2 	16.4 	27.0 	22.5 	26.1 	29.5 	21.9 
44210	Mid Murray	 4,949	  51 	 232,337,200	 40,088	 46,946	8.12 	1.89 	0.23 	0.06 	0.509 	5.9 	18.8 	30.6 	33.7 	29.9 	25.2 	11.2 
44340	Mitcham	 46,417	  45 	 3,665,910,801	 60,160	 78,978	6.57 	1.95 	0.30 	0.10 	0.501 	9.4 	22.9 	34.2 	24.2 	22.4 	23.3 	30.1 
44550	Mount Barker	 25,936	  43 	 1,691,921,750	 54,658	 65,234	5.28 	1.81 	0.34 	0.11 	0.458 	7.4 	19.3 	30.2 	23.6 	26.9 	27.7 	21.8 
44620	Mount Gambier	 17,006	  42 	 965,453,583	 50,098	 56,771	5.23 	1.71 	0.33 	0.11 	0.441 	6.7 	18.2 	28.6 	25.5 	29.4 	29.6 	15.4 
44830	Mount Remarkable	 1,699	  53 	 93,756,355	 44,006	 55,183	8.61 	2.07 	0.24 	0.06 	0.524 	6.4 	19.6 	31.6 	32.6 	25.9 	22.7 	18.8 
45040	Murray Bridge	 12,380	  43 	 623,839,901	 45,558	 50,391	5.75 	1.72 	0.30 	0.09 	0.445 	5.4 	16.8 	27.7 	29.0 	31.0 	28.0 	12.1 
45090	Naracoorte and Lucindale	 5,941	  44 	 375,842,896	 51,093	 63,263	5.34 	1.76 	0.33 	0.10 	0.498 	8.4 	22.8 	34.5 	25.8 	28.3 	28.0 	18.0 
45120	Northern Areas	 2,743	  49 	 173,781,131	 51,554	 63,354	6.14 	1.93 	0.31 	0.09 	0.487 	6.4 	19.7 	31.5 	26.1 	27.4 	25.2 	21.3 
45290	Norwood Payneham St Peters	 25,849	  43 	 2,107,404,613	 58,937	 81,528	6.09 	2.00 	0.33 	0.11 	0.516 	9.6 	24.8 	36.5 	23.2 	23.8 	24.0 	28.9 
45340	Onkaparinga	 107,361	  43 	 6,270,924,300	 52,319	 58,410	4.87 	1.70 	0.35 	0.12 	0.426 	5.6 	16.7 	27.2 	24.1 	28.6 	30.0 	17.2 
45400	Orroroo/Carrieton	  543 	  53 	 28,743,184	 40,830	 52,934	10.96 	2.10 	0.19 	0.03 	0.548 	6.3 	22.9 	35.2 	33.0 	28.6 	22.9 	15.5 
45540	Peterborough	  708 	  51 	 30,296,062	 34,767	 42,791	7.03 	1.95 	0.28 	0.09 	0.492 	5.6 	19.0 	31.3 	37.0 	33.5 	20.3 	9.2 
45680	Playford	 53,412	  37 	 2,876,450,741	 50,252	 53,854	4.44 	1.62 	0.36 	0.13 	0.403 	4.8 	15.3 	25.6 	24.1 	31.3 	31.7 	12.9 
45890	Port Adelaide Enfield	 82,921	  38 	 4,995,802,199	 53,538	 60,248	4.76 	1.73 	0.36 	0.14 	0.422 	5.1 	16.3 	27.0 	23.3 	28.2 	29.4 	19.1 
46090	Port Augusta	 7,797	  42 	 483,428,621	 53,540	 62,002	5.88 	1.83 	0.31 	0.11 	0.439 	4.8 	16.1 	27.2 	24.8 	26.5 	26.6 	22.1 
46300	Port Lincoln	 9,279	  42 	 542,679,194	 48,405	 58,485	5.59 	1.86 	0.33 	0.11 	0.468 	7.4 	19.7 	30.7 	26.1 	30.0 	26.1 	17.7 
46450	Port Pirie City and Dists	 9,235	  44 	 539,227,532	 50,270	 58,390	6.24 	1.83 	0.29 	0.10 	0.456 	5.6 	17.4 	28.5 	27.3 	27.0 	26.8 	18.9 
46510	Prospect	 15,515	  40 	 1,197,723,406	 61,964	 77,198	5.12 	1.86 	0.36 	0.13 	0.464 	7.5 	20.3 	31.4 	20.8 	23.8 	26.1 	29.3 
46670	Renmark Paringa	 6,581	  41 	 325,583,693	 43,536	 49,473	6.68 	1.73 	0.26 	0.09 	0.467 	6.3 	18.6 	29.8 	30.4 	31.9 	26.3 	11.4 
46860	Robe	 1,160	  51 	 74,443,199	 47,309	 64,175	7.30 	1.83 	0.25 	0.07 	0.566 	12.6 	28.1 	40.2 	30.3 	26.9 	25.0 	17.9 
46970	Roxby Downs	 2,641	  37 	 288,927,980	 103,140	 109,401	4.13 	1.64 	0.40 	0.16 	0.383 	4.0 	13.6 	23.7 	13.6 	13.2 	18.7 	54.5 
47140	Salisbury	 84,533	  39 	 4,611,496,170	 50,541	 54,553	4.46 	1.63 	0.37 	0.14 	0.406 	4.8 	15.4 	25.8 	24.2 	30.8 	31.3 	13.6 
47290	Southern Mallee	 1,439	  43 	 73,911,549	 46,831	 51,363	6.05 	1.70 	0.28 	0.05 	0.573 	8.8 	22.3 	33.8 	31.5 	25.6 	29.8 	13.1 
47490	Streaky Bay	 1,439	  48 	 86,066,419	 46,857	 59,810	6.06 	1.97 	0.32 	0.08 	0.495 	6.8 	20.6 	32.7 	27.6 	30.8 	22.6 	19.0 
47630	Tatiara	 4,951	  43 	 287,114,756	 50,537	 57,991	5.34 	1.70 	0.32 	0.10 	0.500 	7.3 	21.2 	32.4 	26.0 	28.7 	29.4 	15.9 
47700	Tea Tree Gully	 65,061	  43 	 4,041,073,653	 55,530	 62,112	4.83 	1.73 	0.36 	0.12 	0.421 	5.0 	16.1 	26.7 	22.7 	26.9 	29.6 	20.8 
47800	The Coorong	 3,318	  47 	 177,657,105	 44,073	 53,543	6.82 	1.80 	0.26 	0.05 	0.531 	10.4 	23.9 	35.3 	31.1 	30.9 	25.6 	12.4 
47910	Tumby Bay	 1,724	  50 	 97,998,372	 44,354	 56,844	8.04 	2.03 	0.25 	0.07 	0.513 	6.8 	20.4 	32.6 	29.8 	28.2 	23.7 	18.3 
47980	Unley	 27,164	  45 	 2,540,338,130	 64,615	 93,519	6.53 	2.03 	0.31 	0.10 	0.536 	11.0 	27.0 	38.7 	22.5 	21.4 	22.6 	33.5 
48050	Victor Harbor	 8,797	  53 	 431,894,173	 37,565	 49,096	8.76 	2.06 	0.24 	0.07 	0.524 	7.7 	21.8 	34.2 	35.7 	31.0 	19.9 	13.5 
48130	Wakefield	 3,971	  45 	 221,893,920	 47,385	 55,879	5.82 	1.79 	0.31 	0.10 	0.469 	6.0 	19.0 	30.5 	27.7 	30.1 	26.1 	16.1 
48260	Walkerville	 5,661	  47 	 664,258,106	 66,533	 117,339	7.03 	2.22 	0.32 	0.11 	0.602 	15.8 	35.5 	47.3 	21.8 	21.1 	21.3 	35.9 
48340	Wattle Range	 7,298	  48 	 432,425,494	 47,870	 59,253	5.76 	1.86 	0.32 	0.10 	0.496 	8.7 	21.5 	32.6 	26.9 	29.8 	25.5 	17.9 
48410	West Torrens	 42,115	  39 	 2,766,967,358	 56,268	 65,700	4.84 	1.76 	0.36 	0.13 	0.439 	6.5 	18.2 	28.9 	22.3 	26.6 	28.8 	22.3 
48540	Whyalla	 11,674	  42 	 786,834,317	 57,767	 67,401	5.77 	1.89 	0.33 	0.12 	0.434 	4.6 	15.3 	26.3 	23.4 	24.3 	24.6 	27.7 
48640	Wudinna	  799 	  45 	 46,365,367	 45,979	 58,029	8.72 	2.10 	0.24 	0.05 	0.533 	5.4 	18.8 	32.4 	31.9 	24.6 	23.3 	20.2 
48750	Yankalilla	 3,407	  53 	 169,943,778	 39,147	 49,881	9.13 	2.02 	0.22 	0.07 	0.521 	6.6 	20.7 	33.2 	34.3 	30.2 	21.8 	13.7 
48830	Yorke Peninsula	 6,207	  53 	 350,310,512	 43,447	 56,438	7.89 	2.06 	0.26 	0.07 	0.532 	6.5 	21.5 	34.1 	31.2 	28.8 	21.9 	18.1 
49399	Unincorporated SA	 1,413	  48 	 80,871,029	 48,039	 57,234	6.90 	1.93 	0.28 	0.07 	0.476 	5.8 	17.7 	29.5 	28.5 	27.9 	24.2 	19.4 
Western Australia		 1,791,649	  41 	 139,297,147,618	 59,426	 77,748	6.23 	1.97 	0.32 	0.10 	0.497 	9.7 	22.4 	33.7 	23.5 	23.4 	24.1 	29.0 
50080	Albany	 25,690	  47 	 1,539,171,435	 47,700	 59,913	7.01 	1.96 	0.28 	0.08 	0.496 	7.5 	20.8 	32.3 	28.6 	27.6 	24.4 	19.5 
50210	Armadale	 60,146	  39 	 4,170,418,207	 59,505	 69,338	5.17 	1.81 	0.35 	0.12 	0.438 	5.7 	17.1 	28.1 	22.0 	24.4 	27.7 	26.0 
50250	Ashburton	 3,830	  38 	 401,628,019	 105,628	 104,864	5.20 	1.54 	0.30 	0.09 	0.392 	4.0 	13.1 	22.7 	17.1 	13.1 	15.8 	54.0 
50280	Augusta-Margaret River	 12,893	  44 	 790,683,246	 45,629	 61,327	6.35 	2.05 	0.32 	0.10 	0.516 	8.6 	22.4 	34.7 	28.0 	30.3 	22.2 	19.4 
50350	Bassendean	 10,515	  42 	 784,953,008	 63,152	 74,651	5.46 	1.81 	0.33 	0.10 	0.453 	7.0 	18.7 	29.6 	21.7 	22.1 	26.5 	29.6 
50420	Bayswater	 47,992	  40 	 3,498,582,675	 60,556	 72,899	5.46 	1.86 	0.34 	0.12 	0.453 	6.3 	18.3 	29.4 	22.1 	23.7 	26.2 	28.1 
50490	Belmont	 29,593	  38 	 2,107,340,748	 60,808	 71,211	4.94 	1.80 	0.36 	0.14 	0.435 	5.3 	16.9 	28.1 	21.0 	24.0 	28.4 	26.7 
50560	Beverley	 1,022	  52 	 68,507,434	 48,963	 67,033	10.68 	2.22 	0.21 	0.06 	0.569 	9.4 	24.0 	36.1 	30.3 	23.7 	21.1 	24.9 
50630	Boddington	 1,108	  46 	 87,269,248	 68,817	 78,763	8.82 	1.96 	0.22 	0.05 	0.461 	4.5 	15.0 	25.9 	24.6 	18.1 	19.0 	38.4 
50770	Boyup Brook	 1,183	  50 	 80,999,443	 49,284	 68,470	8.32 	2.16 	0.26 	0.05 	0.559 	11.9 	25.8 	37.4 	29.0 	26.0 	20.4 	24.6 
50840	Bridgetown-Greenbushes	 3,284	  50 	 204,891,434	 46,459	 62,391	10.05 	2.25 	0.22 	0.05 	0.521 	6.6 	20.5 	32.8 	31.0 	25.4 	20.1 	23.5 
50910	Brookton	  655 	  51 	 42,090,815	 47,084	 64,261	13.30 	2.25 	0.17 	0.03 	0.541 	10.4 	23.1 	35.4 	30.6 	24.8 	21.9 	22.7 
50980	Broome	 11,542	  39 	 815,255,928	 61,224	 70,634	6.52 	1.82 	0.28 	0.08 	0.456 	6.2 	17.9 	28.7 	24.3 	21.1 	26.4 	28.1 
51080	Broomehill-Tambellup	  694 	  46 	 43,865,566	 50,878	 63,207	8.06 	2.03 	0.25 	0.03 	0.557 	6.8 	21.4 	34.5 	27.6 	26.3 	24.3 	21.8 
51120	Bruce Rock	  592 	  48 	 46,700,175	 55,114	 78,885	7.53 	2.19 	0.29 	0.07 	0.526 	5.8 	21.3 	35.4 	26.8 	22.9 	21.0 	29.3 
51190	Bunbury	 21,175	  44 	 1,418,326,375	 52,666	 66,981	6.97 	1.98 	0.28 	0.09 	0.491 	8.1 	20.7 	32.2 	26.5 	25.4 	24.0 	24.0 
51260	Busselton	 28,668	  46 	 1,899,413,618	 49,213	 66,256	7.13 	2.10 	0.29 	0.09 	0.511 	8.6 	22.0 	34.1 	27.5 	27.3 	22.4 	22.7 
51310	Cambridge	 21,253	  46 	 2,785,745,541	 76,994	 131,075	9.09 	2.36 	0.26 	0.08 	0.593 	13.5 	31.5 	44.2 	22.3 	17.6 	17.2 	42.9 
51330	Canning	 66,941	  39 	 4,523,067,200	 53,438	 67,568	6.55 	1.97 	0.30 	0.09 	0.485 	7.4 	20.1 	31.7 	26.1 	25.2 	24.3 	24.4 
51400	Capel	 12,396	  43 	 899,747,399	 59,390	 72,584	6.05 	1.95 	0.32 	0.10 	0.464 	6.2 	18.1 	29.4 	23.3 	23.4 	23.9 	29.4 
51470	Carnamah	  382 	  49 	 24,374,366	 50,162	 63,807	5.65 	2.18 	0.38 	0.08 	0.531 	np	20.3 	32.5 	25.8 	28.9 	21.6 	23.7 
51540	Carnarvon	 3,408	  43 	 210,368,341	 49,968	 61,728	6.84 	1.94 	0.28 	0.09 	0.474 	5.4 	18.0 	30.0 	26.3 	27.7 	25.2 	20.8 
51610	Chapman Valley	 1,050	  47 	 81,717,259	 62,301	 77,826	7.96 	1.95 	0.24 	0.06 	0.523 	8.3 	20.9 	32.9 	26.4 	20.1 	21.6 	31.9 
51680	Chittering	 4,080	  47 	 300,712,564	 59,084	 73,704	5.92 	1.99 	0.34 	0.09 	0.480 	6.2 	18.6 	30.4 	23.0 	23.8 	23.8 	29.5 
51710	Christmas Island	 np	 np	 np	 np	 np	np	np	np	np	np	np	np	np	np	np	np	np
51750	Claremont	 8,103	  49 	 1,018,185,357	 67,004	 125,655	9.95 	2.52 	0.25 	0.08 	0.622 	16.2 	34.4 	47.3 	24.8 	19.3 	16.8 	39.0 
51820	Cockburn	 82,106	  40 	 6,201,768,988	 63,262	 75,534	5.13 	1.85 	0.36 	0.13 	0.444 	5.9 	17.6 	28.7 	20.5 	23.4 	26.1 	30.0 
51860	Cocos Island	 np	 np	 np	 np	 np	np	np	np	np	np	np	np	np	np	np	np	np
51890	Collie	 5,154	  45 	 339,586,094	 50,858	 65,888	8.72 	2.25 	0.26 	0.07 	0.487 	5.1 	17.1 	29.1 	28.7 	23.6 	20.0 	27.7 
51960	Coolgardie	 1,935	  44 	 161,713,598	 69,444	 83,573	7.26 	2.04 	0.28 	0.08 	0.449 	4.3 	14.8 	26.0 	22.4 	17.8 	21.6 	38.2 
52030	Coorow	  645 	  54 	 44,970,140	 52,500	 69,721	9.66 	2.17 	0.22 	0.05 	0.539 	8.6 	21.8 	33.9 	27.9 	23.4 	21.2 	27.4 
52100	Corrigin	  780 	  48 	 52,570,450	 56,458	 67,398	7.82 	1.96 	0.25 	0.06 	0.499 	4.8 	18.2 	30.4 	27.1 	22.0 	24.9 	26.0 
52170	Cottesloe	 6,303	  49 	 1,909,522,486	 80,932	 302,955	9.89 	2.50 	0.25 	0.08 	0.805 	52.1 	65.0 	72.6 	21.7 	17.8 	15.4 	45.1 
52240	Cranbrook	  723 	  47 	 43,084,811	 49,420	 59,592	7.23 	1.94 	0.27 	0.04 	0.536 	6.1 	20.1 	32.3 	27.6 	26.8 	25.9 	19.7 
52310	Cuballing	  553 	  51 	 33,672,105	 44,921	 60,890	8.02 	2.23 	0.28 	0.03 	0.555 	6.3 	21.3 	34.6 	30.0 	27.5 	20.7 	21.8 
52380	Cue	  116 	  53 	 5,406,965	 45,541	 46,612	np	np	np	np	0.513 	np	19.2 	31.3 	38.7 	19.3 	31.9 	10.1 
52450	Cunderdin	  815 	  44 	 52,227,157	 53,991	 64,082	8.09 	1.98 	0.24 	0.06 	0.518 	4.9 	18.0 	30.8 	27.4 	23.3 	23.5 	25.8 
52520	Dalwallinu	 1,088	  42 	 92,911,693	 63,241	 85,397	6.13 	1.92 	0.31 	0.09 	0.527 	6.6 	23.5 	36.5 	22.4 	22.6 	23.6 	31.4 
52590	Dandaragan	 2,625	  49 	 168,437,460	 46,975	 64,167	9.69 	2.26 	0.23 	0.05 	0.538 	7.6 	21.2 	34.0 	31.0 	24.7 	20.6 	23.6 
52660	Dardanup	 9,590	  42 	 678,141,066	 58,785	 70,713	5.85 	1.96 	0.34 	0.11 	0.452 	4.9 	16.5 	28.0 	23.0 	24.4 	24.1 	28.5 
52730	Denmark	 4,235	  51 	 223,780,354	 37,579	 52,841	11.03 	2.32 	0.21 	0.05 	0.549 	7.2 	22.2 	35.3 	36.8 	27.2 	18.7 	17.3 
52800	Derby-West Kimberley	 3,583	  39 	 199,608,957	 43,477	 55,710	14.92 	2.19 	0.15 	0.04 	0.514 	6.1 	18.3 	30.4 	35.8 	20.9 	22.0 	21.3 
52870	Donnybrook-Balingup	 4,243	  49 	 260,710,754	 47,409	 61,445	8.81 	2.16 	0.25 	0.06 	0.513 	5.6 	18.7 	31.3 	30.0 	25.3 	21.2 	23.5 
52940	Dowerin	  446 	  48 	 32,567,353	 50,953	 73,021	9.91 	2.26 	0.23 	0.04 	0.559 	np	22.4 	35.7 	28.5 	24.4 	20.0 	27.1 
53010	Dumbleyung	  474 	  46 	 33,974,210	 54,129	 71,676	8.70 	2.20 	0.25 	0.06 	0.506 	np	18.2 	32.3 	27.9 	23.5 	20.5 	28.1 
53080	Dundas	  385 	  50 	 20,688,168	 44,107	 53,736	12.56 	1.92 	0.15 	0.03 	0.523 	np	17.6 	31.3 	36.3 	20.1 	25.8 	17.8 
53150	East Fremantle	 5,672	  47 	 625,271,290	 70,176	 110,238	8.33 	2.21 	0.27 	0.09 	0.576 	14.2 	30.2 	42.0 	23.4 	19.4 	17.8 	39.4 
53220	East Pilbara	 3,698	  37 	 318,611,661	 75,320	 86,158	10.80 	1.98 	0.18 	0.05 	0.466 	4.3 	15.5 	26.8 	25.9 	14.5 	18.9 	40.7 
53290	Esperance	 9,514	  44 	 687,247,171	 55,151	 72,235	6.92 	2.02 	0.29 	0.09 	0.519 	8.9 	22.6 	34.4 	25.7 	24.3 	23.9 	26.2 
53360	Exmouth	 2,348	  37 	 167,784,995	 52,571	 71,459	5.35 	2.12 	0.40 	0.15 	0.479 	8.2 	20.6 	32.1 	21.9 	30.2 	21.7 	26.2 
53430	Fremantle	 23,474	  44 	 2,035,133,831	 61,524	 86,697	6.91 	2.07 	0.30 	0.10 	0.526 	11.1 	25.1 	36.5 	23.8 	22.3 	21.3 	32.6 
53570	Gingin	 3,855	  47 	 240,205,297	 48,241	 62,310	8.09 	2.12 	0.26 	0.07 	0.508 	6.1 	19.5 	32.2 	29.2 	26.5 	21.9 	22.4 
53640	Gnowangerup	  862 	  44 	 60,923,521	 53,922	 70,677	9.32 	2.10 	0.23 	0.04 	0.562 	6.9 	22.5 	35.2 	29.4 	21.4 	22.4 	26.8 
53710	Goomalling	  609 	  50 	 38,944,502	 52,113	 63,948	7.42 	2.03 	0.27 	0.07 	0.526 	5.9 	18.4 	31.3 	26.1 	26.1 	23.5 	24.2 
53780	Gosnells	 80,076	  40 	 5,087,799,716	 54,538	 63,537	5.34 	1.81 	0.34 	0.12 	0.443 	5.1 	17.0 	28.3 	24.0 	26.4 	27.5 	22.0 
53800	Greater Geraldton	 25,806	  44 	 1,787,328,045	 56,605	 69,260	6.49 	1.97 	0.30 	0.10 	0.469 	6.5 	18.3 	29.6 	24.7 	24.4 	23.7 	27.3 
53920	Halls Creek	 1,379	  38 	 55,844,241	 21,820	 40,496	32.59 	3.47 	0.11 	0.03 	0.599 	5.4 	21.3 	36.2 	50.8 	18.0 	17.8 	13.4 
53990	Harvey	 19,290	  43 	 1,368,863,136	 57,287	 70,962	6.96 	2.04 	0.29 	0.09 	0.472 	5.7 	17.6 	29.2 	24.7 	23.8 	22.4 	29.1 
54060	Irwin	 2,323	  51 	 153,212,068	 48,277	 65,954	10.20 	2.33 	0.23 	0.06 	0.514 	6.5 	19.2 	31.6 	30.7 	23.9 	18.8 	26.6 
54130	Jerramungup	  861 	  44 	 60,834,828	 51,685	 70,656	8.29 	1.94 	0.23 	0.05 	0.606 	9.6 	29.4 	41.9 	28.2 	26.2 	24.0 	21.7 
54170	Joondalup	 113,057	  45 	 8,989,224,629	 61,482	 79,511	6.43 	1.99 	0.31 	0.10 	0.489 	7.7 	20.8 	32.4 	23.3 	22.5 	22.7 	31.5 
54200	Kalamunda	 39,763	  44 	 2,951,118,732	 59,859	 74,218	6.17 	1.93 	0.31 	0.10 	0.474 	7.1 	19.4 	30.8 	23.3 	23.1 	24.6 	28.9 
54280	Kalgoorlie/Boulder	 20,773	  39 	 1,798,508,494	 75,742	 86,579	5.31 	1.83 	0.34 	0.11 	0.427 	5.2 	15.6 	26.2 	18.8 	18.5 	23.2 	39.6 
54310	Karratha	 14,912	  38 	 1,493,869,867	 87,137	 100,179	6.03 	1.84 	0.30 	0.09 	0.441 	5.1 	16.4 	27.3 	18.9 	15.0 	19.9 	46.3 
54340	Katanning	 2,625	  43 	 155,331,010	 50,956	 59,174	5.72 	1.78 	0.31 	0.08 	0.463 	6.5 	18.9 	30.0 	24.7 	30.3 	26.7 	18.2 
54410	Kellerberrin	  726 	  49 	 44,900,079	 48,184	 61,846	8.86 	2.00 	0.23 	0.08 	0.517 	6.9 	21.5 	33.6 	31.3 	25.1 	22.9 	20.7 
54480	Kent	  334 	  43 	 26,263,364	 55,012	 78,633	12.77 	2.18 	0.17 	0.06 	0.576 	np	26.3 	39.6 	30.2 	19.9 	22.4 	27.5 
54550	Kojonup	 1,497	  47 	 104,457,282	 55,601	 69,778	7.63 	1.96 	0.26 	0.06 	0.492 	6.3 	19.7 	32.3 	25.4 	24.3 	25.8 	24.6 
54620	Kondinin	  603 	  48 	 40,195,191	 48,037	 66,659	6.88 	2.08 	0.30 	0.10 	0.513 	5.9 	21.1 	34.6 	28.3 	26.2 	23.5 	22.0 
